,property_name,society,property_type,price,price_per_sq,area,areaWithType,bedRoom,bathroom,balcony,additionalRoom,address,noOfFloor,facing,agePossession,nearbyLocations,description,furnishDetails,features,rating
55,3 Bedroom House for sale in Sector 48 Gurgaon,vipul tatvam villa,houses,7.25,27971.0,2592.0,Plot area 288(240.8 sq.m.),3,4,2,"servant room,study room,store room,pooja room","A111, Sector 48 Gurgaon, Gurgaon, Haryana",2,South,5 to 10 Year Old,"['athena', 'star mall', 'the sixth element school', 'k.r.mangalam world school', 'medhaam pre school & daycare', 'peer baba ki mazar', 'hdfc bank', 'punjab national bank', 'axis bank', 'sushil park', 'conexus.life b35', 'world tech park', 'marriott courtyard', 'moksh wellness pvt ltd.', 'bharat petroleum petrol pump']","Sector 48 gurgaon is one of gurgaon's most sought after destination for residential houses and this 3 bhk house in sector 48 gurgaon is your opportunity to be a part of this community. This residential property boasts proximity to key landmarks like close to metro station and close to market. Constructed on a super built up area of 288 sq.Yards, this house comprises 3 bedrooms, 4 bathrooms and 2 balconies. The houses comes with dedicated 2 covered parking space(s) where you can easily park your vehicle(s). This is a ready to move house, with excellent interior works. The ownership right of this property is freehold. The price of this spacious independent house is  7.25 crore.","['4 wardrobe', '1 water purifier', '12 fan', '1 exhaust fan', '4 geyser', '36 light', '1 chimney', '6 ac', '1 modular kitchen', 'no bed', 'no curtains', 'no dining table', 'no microwave', 'no fridge', 'no sofa', 'no stove', 'no tv', 'no washing machine']","['security / fire alarm', 'feng shui / vaastu compliant', 'private garden / terrace', 'maintenance staff', 'water storage', 'separate entry for servant room', 'no open drainage around', 'recently renovated', 'bank attached property', 'piped-gas', 'visitor parking', 'swimming pool', 'park', 'security personnel', 'natural light', 'spacious interiors', 'low density society', 'fitness centre / gym', 'rain water harvesting', 'club house / community center']","['environment4 out of 5', 'lifestyle4 out of 5', 'connectivity5 out of 5', 'safety4 out of 5']"
56,4 Bedroom House for sale in Sector 48 Gurgaon,vipul tatvam villa,houses,8.4,21000.0,4000.0,Plot area 4000(371.61 sq.m.),4,5,3,"pooja room,study room,servant room","Sector 48 Gurgaon, Gurgaon, Haryana",2,North,5 to 10 Year Old,"['athena', 'star mall', 'the sixth element school', 'k.r.mangalam world school', 'medhaam pre school & daycare', 'peer baba ki mazar', 'hdfc bank', 'punjab national bank', 'axis bank', 'sushil park', 'conexus.life b35', 'world tech park', 'marriott courtyard', 'moksh wellness pvt ltd.', 'bharat petroleum petrol pump']","Wishing to settle down in an individual house with your family? This well-Built and spacious 4 bhk house for sale in sector 48 gurgaon seems to be an ideal choice for a peaceful abode for a family. The floor plan additionally contains 4 bedrooms, 5 bathrooms and more than 3 balconies. All in all, the independent house is spread over a super built up area of 4000 sq.Ft. There are 2 covered & 3 open parking available with this house. This is a ready to move house, which is 5-10 years old. The ownership right of this property is freehold. The property is available for sale at a competitive price of  8.4 crore.","['5 wardrobe', '6 fan', '1 exhaust fan', '4 geyser', '1 stove', '19 light', '1 chimney', '1 modular kitchen', '5 ac', 'no bed', 'no curtains', 'no dining table', 'no microwave', 'no fridge', 'no sofa', 'no tv', 'no washing machine', 'no water purifier']","['feng shui / vaastu compliant', 'private garden / terrace', 'maintenance staff', 'water storage', 'park', 'visitor parking', 'rain water harvesting']","['environment4 out of 5', 'lifestyle4 out of 5', 'connectivity5 out of 5', 'safety4 out of 5']"
57,4 Bedroom House for sale in Sector 55 Gurgaon,independent,houses,3.55,24500.0,1449.0,Plot area 161(134.62 sq.m.),4,4,3,not available,"Sector 55 Gurgaon, Gurgaon, Haryana",2,Na,10+ Year Old,"['sector metro station', 'sector metro station', 'sector 54 chowk metro station', 'sanatan dharm mandir', 'radhakrishna shani mandir', 'icici bank atm', 'state bank atm', 'icici bank atm', 'citi bank atm', 'indusind bank atm', 'arunodaya deseret eye hospital', 'pracksht hospital', 'surgicare hospital gurgaon', 'kriti hospital', 'anand hospital gurgaon', 'huda office complex', 'medisca', 'apollo pharmacy', 'intellion park', 'international tech park', 'hcg cng station', 'heera fuel station', 'state bank of india', 'indusind bank', 'kotak mahindra bank', 'hdfc bank', 'icici bank', 'axis bank', 'hdfc bank & atm', 'hdfc bank and atm', '222', 'bikanerwala', 'wat-a-burger', 'burger singh', 'naivedyam restaurant', 'pizza hut', 'clock tower', 'sushant college of arts & architecture', 'ansal institute of technology', 'suncity school', 'iilm university', 'iilm']",For sale 161yd independent house sector 55 gurugram haryana,"['6 wardrobe', '9 fan', '6 geyser', '17 light', '1 modular kitchen', 'no ac', 'no bed', 'no chimney', 'no curtains', 'no dining table', 'no exhaust fan', 'no microwave', 'no fridge', 'no sofa', 'no stove', 'no tv', 'no washing machine', 'no water purifier']","['feng shui / vaastu compliant', 'high ceiling height', 'water storage', 'rain water harvesting']","['environment4 out of 5', 'lifestyle4 out of 5', 'connectivity5 out of 5', 'safety4 out of 5']"
58,4 Bedroom House for sale in Sector 91 Gurgaon,dlf new town heights,houses,2.5,7058.0,3542.0,Plot area 3400(315.87 sq.m.),4,4,3,"pooja room,study room,servant room,store room","Sector 91 Gurgaon, Gurgaon, Haryana",3,East,5 to 10 Year Old,"['mg road metro station', 'rhm public school', 'sanjeevani hospital', 'igi airport', 'garhi harsaru junction', 'spaze business park', 'orchid business park', 'klay play school']","Dlf new town heights, 4bhk independent villa available for sale in sec-91, gurgaon. A truly integrated township in new gurgaon which is well connected from nh-8 , dwarka expressway , kmp and manesar, with all other modern amenities like 100% power back up, 24 hours water supply ,24 hr. Security, club, pool, gym ,table tennis, card room, basket ball , cricket pitch etc in the complex. Excellent location, contact now for further details and to get the best deals plz call 9999one66543","['2 bed', '7 wardrobe', '9 fan', '1 exhaust fan', '3 geyser', '14 light', '2 ac', '1 modular kitchen', '1 chimney', 'no curtains', 'no dining table', 'no microwave', 'no fridge', 'no sofa', 'no stove', 'no tv', 'no washing machine', 'no water purifier']","['feng shui / vaastu compliant', 'maintenance staff', 'water storage', 'separate entry for servant room', 'no open drainage around', 'visitor parking', 'swimming pool', 'park', 'security personnel', 'low density society', 'fitness centre / gym', 'waste disposal', 'rain water harvesting', 'club house / community center']","['environment4 out of 5', 'lifestyle4 out of 5', 'connectivity3 out of 5', 'safety4.5 out of 5']"
59,4 Bedroom House for sale in Sector 86 Gurgaon,dlf new town heights,houses,2.5,7058.0,3542.0,Plot area 3400(315.87 sq.m.),4,4,3,"study room,servant room,pooja room,store room","Sector 86 Gurgaon, Gurgaon, Haryana",3,East,5 to 10 Year Old,"['city square', 'vatika town square', 'bharat ram global school', 'shishu kalyan school', 'dsd college', 'amity university', 'icfai university', 'canara bank atm', 'axis bank atm', 'arc hospital', 'rathore imt hospital', 'indira gandhi airport', 'yes bank', 'canara bank', 'patil station']","Dlf new town heights, 4bhk independent villa available for sale in sec-91, gurgaon. A truly integrated township in new gurgaon which is well connected from nh-8 , dwarka expressway , kmp and manesar, with all other modern amenities like 100% power back up, 24 hours water supply ,24 hr security, club, pool, gym ,table tennis, card room, basket ball , cricket pitch etc in the complex. Excellent location, contact now for further details and to get the best deals plz call 9999one66543","['2 bed', '7 wardrobe', '12 fan', '1 exhaust fan', '1 dining table', '3 geyser', '15 light', '2 ac', '1 modular kitchen', '1 chimney', 'no curtains', 'no microwave', 'no fridge', 'no sofa', 'no stove', 'no tv', 'no washing machine', 'no water purifier']","['security / fire alarm', 'feng shui / vaastu compliant', 'water purifier', 'high ceiling height', 'maintenance staff', 'false ceiling lighting', 'water storage', 'separate entry for servant room', 'no open drainage around', 'recently renovated', 'piped-gas', 'visitor parking', 'swimming pool', 'park', 'security personnel', 'natural light', 'internet/wi-fi connectivity', 'airy rooms', 'spacious interiors', 'low density society', 'fitness centre / gym', 'waste disposal', 'rain water harvesting', 'club house / community center']","['environment5 out of 5', 'lifestyle5 out of 5', 'connectivity4.5 out of 5', 'safety4.5 out of 5']"
60,5 Bedroom House for sale in Sector 111 Gurgaon,puri diplomatic greens,houses,9.0,11250.0,8000.0,Built Up area: 8000 (743.22 sq.m.),5,5,3,servant room,"A1212, Sector 111 Gurgaon, Gurgaon, Haryana",3,North-East,1 to 5 Year Old,"['dwarka sector 21 metro station', 'gurgaon dreamz mall', 'dwarka expressway', 'delhi', 'delhi jaipur highway', 'red roses public school', 'the northcap university', 'metro hospital, palam vihar', 'indira gandhi international airport', 'the oberoi, gurgaon']","Puri diplomatic greens
Puri diplomatic greens is a premium & ready-To-Move-In housing solution, basically situated on the borderline of delhi & gurgaon. Puri diplomatic greens offers a remarkable address to you on dwarka expressway, sector 111. Puri diplomatic greens dwarka expressway is an upcoming residential hub of ncr. The location is just outstanding. Diplomatic greens puri's locality is the growth centre, highly focused by delhi, haryana, & even by the central government.
Diplomatic greens puri has a vast range of apartments.
Each building of puri diplomatic greens has 21 floors.
There are green-Facing skyview apartments in puri diplomatic greens.
3 bhk apartments with balconies & 4 bhk apartments are built with a broad deck.
4 bhk apartment of puri diplomatic greens has a stunning swimming pool on the floor.
Puri diplomatic greens is a luxurious residential premise situated just off dwarka expressway & very close to nh8. It is at an iconic locality that is a residential hub as well as a homeplace of amazing infrastructure. Puri diplomatic greens gurgaon offers easy & direct access to dwarka & west delhi. 
 It has an excellent road connectivity and offers direct access to delhi, gurgaon, manesar, nh48, & igi airport. It is a perfect & worthy property to buy, close to supermarkets, schools, hospitals and commercial centres.
Location advantages of puri diplomatic 
 Only 10 minutes short drive for igi airport
 Delhi is on just 15 minutes away from this project
 10 minutes away from huda city center
 Easily accessible to bus stand and railway station
 5 minutes distance from national highway 8
 Nearby business park and tech parkSpecifications of puri diplomatic greens
Living room/ dining room/ lounge:
 Floors: Imported marble
 Walls: Pop punning with acrylic emulsion paint
 Ceiling: Pop punning with acrylic emulsion paint
 Doors: Hardwood door frames with solid wod paneled door with melamine polish finish
 Window/glazing: Upvc windows
 Others: Designed vrv air conditioning
 Electrical: Copper electrical wiring in concealed conduits and mcb and fibre optics for telephone, internet and ip tv connection, premium modular switchesAll bedrooms:
 Floors: Imported marble
 Walls: Pop punning with acrylic emulsion paint
 Ceiling: Pop punning with acrylic emulsion paint
 Doors: Seasoned hardwood frame with european style moulded shutter
 Window/ glazing: Upvc windows
 Others: Designed vrv air conditioning
 Electrical: Copper electrical wiring in concealed conduits and mcb and fibre optics for telephone, internet and ip tv connectionKitchen:
 Floors: Imported marble
 Walls: Tiles and acrylic emulsion paint
 Ceiling: Pop punning with acrylic emulsion paint
 Doors: Seasoned hardwood frame with european style moulded shutter
 Window/ glazing: Upvc windows
 Others: Complete modular kitchen with hob and chimney
 Electrical: Copper electrical wiring in concealed conduits and mcb and fibre optics for telephone, internet and ip tv connectionBalconies/ terrace:
 Floors: Stone/ anti-Skid tiles
 Walls: Weather proof paint
 Ceiling: Weather proof paint
 Doors: Upvc windows
 Window/ glazing: Upvc windows
 Electrical: Copper electrical wiring in concealed conduits and mcbMaster toilet:
 Floors: Imported marble
 Walls: Imported marble/ acrylic emulsion paint
 Ceiling: False ceiling with acrylic emulsion paint
 Doors: Seasoned hardwood frame with european style moulded shutter
 Window/ glazing: Upvc windows
 Others: Kohler/ equivalent quality chinaware, cp fittings, marble counter
 Electrical: Copper electrical wiring in concealed conduits and mcb and fibre optics for telephoneOther toilets:
 Floors: Imported marble
 Walls: Ceramic tiles/ acrylic emulsion paint
 Ceiling: False ceiling with acrylic emulsion paint
 Doors: Seasoned hardwood frame with european style moulded shutter
 Window/ glazing: Upvc windows
 Others: Kohler/ equivalent quality chinaware, cp fittings, marble counter
 Electrical: Copper electrical wiring in concealed conduits and mcbS. Room/ utility room:
 Floors: Tiles
 Walls: Obd
 Ceiling: Obd
 Doors: Hardwood frames with painted flush door
 Window/glazing: Upvc windows
 Others: Isi quality tiles and fittings
 Electrical: Copper electrical wiring in concealed conduits and mcbEdc, idc & other charges as applicable.","['4 light', '6 ac', 'no bed', 'no chimney', 'no curtains', 'no dining table', 'no exhaust fan', 'no fan', 'no geyser', 'no modular kitchen', 'no microwave', 'no fridge', 'no sofa', 'no stove', 'no tv', 'no wardrobe', 'no washing machine', 'no water purifier']","['security / fire alarm', 'feng shui / vaastu compliant', 'private garden / terrace', 'high ceiling height', 'maintenance staff', 'false ceiling lighting', 'water storage', 'separate entry for servant room', 'no open drainage around', 'bank attached property', 'visitor parking', 'swimming pool', 'park', 'security personnel', 'low density society', 'fitness centre / gym', 'waste disposal', 'rain water harvesting', 'club house / community center']",
61,3 Bedroom House for sale in Sector 40 Gurgaon,independent,houses,2.1,23333.0,900.0,Plot area 900(83.61 sq.m.),3,3,2,others,"Sector 40 Gurgaon, Gurgaon, Haryana",3,North,5 to 10 Year Old,"['huda city centre metro station', 'axis bank atm', 'state bank of india atm', 'icici bank atm', 'icici atm', 'citi bank atm', 'axis bank atm', 'hdfc atm', 'standard chartered atm', 'hdfc bank atm', 'axis bank atm', 'hdfc bank atm', 'state bank of india atm', 'dispencery', 'shivam hospital gurgaon', 'fortis memorial research institute fortis vivekanand hospital', 'dr. naval mendiratta', 'centre for sight gurgaon sector 29', 'sukhmani hospital pvt. ltd', 'ahmed hospital multi speciality', ""dr akram jawed's the upper limb clinic"", 'medanta', 'gardian pharmacy', 'city medical', 'gardian pharmacy', 'pernod ricard charitable dispensary', 'ibp petrol pump', 'bharat petroleum', 'hdfc bank', 'raj restaurant', 'fast food', 'fast food', 'om sweets', 'bar and restaurant', 'cafe coffee day', '32nd milestone', 'darbar', 'pwo house', 'dhabba', 'st. angels jr', 'school of inspired leadership soil', 'cr model public school', 'manav rachna school', 'st. angels sr', 'amity global school', 'salvan public school', 'stones2milestones', 'manav rachna swimming pool']",Near by huda market near by park near by nh-8 near by huda city metro station,"['5 wardrobe', '6 fan', '1 exhaust fan', '7 geyser', '14 light', '1 chimney', '1 modular kitchen', 'no ac', 'no bed', 'no curtains', 'no dining table', 'no microwave', 'no fridge', 'no sofa', 'no stove', 'no tv', 'no washing machine', 'no water purifier']","['feng shui / vaastu compliant', 'private garden / terrace', 'water storage', 'visitor parking', 'waste disposal', 'rain water harvesting']","['environment4 out of 5', 'lifestyle4 out of 5', 'connectivity4 out of 5', 'safety4 out of 5']"
64,5 Bedroom House for sale in Sector 14 Gurgaon,independent,houses,4.5,20000.0,2250.0,Carpet area: 2500 (232.26 sq.m.),5,5,1,not available,"Sector 14, Sector 14 Gurgaon, Gurgaon, Haryana",1,Na,1 to 5 Year Old,"['sheetla mata mandir', 'hsbc bank atm', 'hdfc bank atm', 'state bank of india atm', 'punjab national bank atm', 'nagpal nursing home gurgaon', 'kalyani hospital gurgaon', 'kishor clinic', 'apollo cradle hospital gurgaon', 'saraswati hospital gurgaon', 'sheetla clinic', 'dr. babita sharma', 'nidhi clinic', 'children hospital', 'dr. tomar clinic', 'jeevan jyoti hospital gurgaon', 'lotus hospital gurgaon', 'sangwan hospital gurgaon', 'mamta hospital gurgaon', 'ahmed hospital multi speciality', 'jackson hospital', 'ahooja eye and dental institute hospital', 'dr. sandeep chauhan', 'sector-14 market', 'indian oil', 'standard chartered bank', 'icici bank', 'hdfc bank', 'oriental bank of commerce', 'karur vysay bank', 'catholic syrian bank', 'state bank of india sbi', 'punjab national bank', 'rang parivartan', 'cafe coffee day', 'dhabba', '32nd milestone', 'cafe coffee day', 'ardor 29', 'adda', 'gung the palace korean restaurant', 'walking street', 'tocpao', 'spaghetti kitchen & bar', 'swagath', 'pizza hut', 'salvan public school', 'management development institute', 'lieutenant atul kataria school', 'govt sec school']",A residential house is available for sale. It is a good location property. Please contact for more details. Sector 14,,,"['environment4 out of 5', 'lifestyle5 out of 5', 'connectivity5 out of 5', 'safety4 out of 5']"
65,5 Bedroom House for sale in C Block Sushant Lok Phase 1,independent,houses,6.5,35400.0,1836.0,Plot area 215(179.77 sq.m.)Built Up area: 215 sq.yards (179.77 sq.m.),5,4,3,"pooja room,servant room","C Block Sushant Lok Phase 1, Gurgaon, Haryana",3,South-East,5 to 10 Year Old,"['sector 42-43 metro station', 'huda city centre metro station', 'hanuman mandir', 'new life church', 'hdfc atm', 'rbs atm', 'hdfc bank atm', 'standard chartered atm', 'kotak mahindra bank atm', 'standard chartered atm', 'paras hospital gurgaon', 'gupta', 'arihant hospital', 'dr. naval mendiratta', 'fortis memorial research institute fortis vivekanand hospital', 'dr. kutbuddin akbary', 'max hospital', 'sitaram bhartia', 'guardian pharmacy', 'chikitsa', 'bharat petroleum', 'icici bank', 'hdfc bank', 'axis bank', 'pwo house', 'balaji vegetarian paradise', 'the chicken boat', 'sagar ratna', 'cafe tonini', 'shophouse by kylin', ""carl's jr."", 'starbucks', 'naveidyam', 'starbucks', 'blue tokai coffee roasters', 'ccd', 'drunken monkey', 'belgian waffle', 'nowhere brewpub and cafe', 'fat', 'dighent cafe', 'clock tower', 'stones2milestones', 'school of inspired leadership soil', 'ncr library', 'bahrisons library']","Newy rennovated with italian flooring and teak wood work.
 Additional details :The kitchen has been built with modular fittings.
 The house has river water supply.
There is also a separate washroom for domestic help.
You can easily park your car inside the compound
Having a provision to park 1 cars.","['10 fan', '5 geyser', '26 light', '5 ac', '1 chimney', '4 wardrobe', '1 microwave', 'no bed', 'no curtains', 'no dining table', 'no exhaust fan', 'no modular kitchen', 'no fridge', 'no sofa', 'no stove', 'no tv', 'no washing machine', 'no water purifier']","['high ceiling height', 'false ceiling lighting', 'water storage', 'separate entry for servant room', 'recently renovated', 'natural light', 'airy rooms', 'spacious interiors']","['environment4 out of 5', 'lifestyle4 out of 5', 'connectivity4 out of 5', 'safety4 out of 5']"
79,12 Bedroom House for sale in Sector 40 Gurgaon,independent,houses,9.5,40135.0,2367.0,Plot area 263(219.9 sq.m.),12,12,3,store room,"Sector 40 Gurgaon, Gurgaon, Haryana",4,Na,0 to 1 Year Old,"['huda city centre metro station', 'icici bank atm', 'state bank of india atm', 'axis bank atm', 'icici atm', 'citi bank atm', 'axis bank atm', 'hdfc atm', 'axis bank atm', 'hdfc bank atm', 'state bank of india atm', 'shivam hospital gurgaon', 'dispencery', 'ahmed hospital multi speciality', 'centre for sight gurgaon sector 29', 'dayal eye & maternity centre', 'fortis memorial research institute fortis vivekanand hospital', 'dr. naval mendiratta', 'gardian pharmacy', 'city medical', 'gardian pharmacy', 'pernod ricard charitable dispensary', 'ibp petrol pump', 'hdfc bank', 'bar and restaurant', 'fast food', 'fast food', 'om sweets', 'cafe coffee day', 'raj restaurant', '32nd milestone', 'darbar', 'dhabba', ""hops 'n' brew"", 'pizza hut', 'spaghetti kitchen & bar', ""domino's pizza"", ""mcdonald's"", 'tocpao', 'beer & whisky bar', 'zura', 'the oriental bloom chinese and thai', 'cr model public school', 'st. angels jr', 'salvan public school', 'school of inspired leadership soil', 'manav rachna school', 'st. angels sr', 'manav rachna swimming pool']","Newly constructed 12 bhk independent floorwise building on sale at sector-40, gurgaon, consisting 3bhk on each floor in total 4 floor building. Stilt parking, lift, specious room, modular kitchen.","['5 wardrobe', '1 water purifier', '1 exhaust fan', '5 geyser', '1 stove', '1 microwave', '1 modular kitchen', '1 chimney', 'no ac', 'no bed', 'no curtains', 'no dining table', 'no fan', 'no light', 'no fridge', 'no sofa', 'no tv', 'no washing machine']","['feng shui / vaastu compliant', 'security / fire alarm', 'water purifier', 'false ceiling lighting', 'water storage', 'piped-gas', 'visitor parking', 'internet/wi-fi connectivity', 'spacious interiors']","['environment4 out of 5', 'lifestyle4 out of 5', 'connectivity4 out of 5', 'safety4 out of 5']"
80,4 Bedroom House for sale in Sector 23 Gurgaon,independent,houses,5.0,16244.0,3078.0,Plot area 342(285.96 sq.m.),4,4,2,not available,"Sector 23 Gurgaon, Gurgaon, Haryana",2,East,10+ Year Old,"['huda sector 23 market', 'palam triangle', 'palam vihar vyapar kendra', 'ram mandir', ""dr kapoor's dental care and implant centre"", 'metro hospital and heart institute gurgaon', 'sp infocity', 'huda sector 23 parking', 'ansals plaza above ground car parking', 'ansals plaza underground car parking', 'punjab national bank', 'oriental bank of commerce', 'axis bank', 'big cinemas', 'om sweets', 'pind baluchi', ""domino's pizza"", 'moti mahal', 'pizza hut', 'cafe coffee day', ""mcdonald's"", 'swiss cottage school', 'the northcap university', 'masti ki pathshala teach india', 'chiranjiv bharati school', 'palam vihar railway station', 'bijwasan railway station']","Wishing to settle down in an individual house with your family? This well-Built and spacious 4 bhk house for sale in sector 23 gurgaon seems to be an ideal choice for a peaceful abode for a family. This house occupies a super built up area of 342 sq.Yards and contains 4 bedrooms, 4 bathrooms and 2 balconies. The owner of the house also gets 2 covered and 1 open parking slot(s) to park their car safely. This 10+ years old property is available for immediate possession as the house is ready to move. It is a freehold property. This independent house is available at an attractive price of  5 crore. The residents of this house enjoy a 24*7 access to clean water. This property faces the east direction.","['4 wardrobe', '6 fan', '10 light', '1 modular kitchen', 'no ac', 'no bed', 'no chimney', 'no curtains', 'no dining table', 'no exhaust fan', 'no geyser', 'no microwave', 'no fridge', 'no sofa', 'no stove', 'no tv', 'no washing machine', 'no water purifier']",['water storage'],"['environment4 out of 5', 'lifestyle5 out of 5', 'connectivity5 out of 5', 'safety4 out of 5']"
90,4 Bedroom House for sale in Sector 109 Gurgaon,international city by sobha phase 1,houses,5.5,21605.0,2546.0,Plot area 270(225.75 sq.m.),4,4,3,servant room,"Sector 109 Gurgaon, Gurgaon, Haryana",2,North-East,0 to 1 Year Old,"['dwarka sector 21 metro station', 'pacific d21 mall', 'dharampeth main road', 'dwarka expressway', 'the shikshiyan school', 'the northcap university', ""rion's hospital"", 'indira gandhi international airport', 'gurgaon railway station', 'the executive centre', 'luxus haritma resort', ""oyster's water park"", 'bsf golf course']","A well maintained 270 sqyd villa with basement ,ready to move, available at 5.25 cr all inclusive","['1 fan', '1 exhaust fan', '1 geyser', '1 light', '1 ac', 'no bed', 'no chimney', 'no curtains', 'no dining table', 'no modular kitchen', 'no microwave', 'no fridge', 'no sofa', 'no stove', 'no tv', 'no wardrobe', 'no washing machine', 'no water purifier']","['maintenance staff', 'swimming pool', 'water storage', 'separate entry for servant room', 'park', 'visitor parking', 'security personnel', 'fitness centre / gym', 'club house / community center']","['environment5 out of 5', 'lifestyle4 out of 5', 'connectivity3.5 out of 5', 'safety4.5 out of 5']"
91,4 Bedroom House for sale in Sector 109 Gurgaon,international city by sobha phase 2,houses,5.65,10463.0,5400.0,Plot area 600(501.68 sq.m.),4,4,3,"servant room,others","Sector 109 Gurgaon, Gurgaon, Haryana",2,North-East,0 to 1 Year Old,"['dwarka sector 21 metro station', 'pacific d21 mall', 'dwarka expressway', 'euro international school', 'the northcap university', 'aryan hospital', 'indira gandhi intl airport', 'gurgaon railway station']",Ready to move spacious 4 bhk upper and lower duplex villa on 600 sqyd plot area in sobha international city phase 2.,"['1 water purifier', '1 exhaust fan', '5 geyser', '8 ac', 'no bed', 'no chimney', 'no curtains', 'no dining table', 'no fan', 'no modular kitchen', 'no light', 'no microwave', 'no fridge', 'no sofa', 'no stove', 'no tv', 'no wardrobe', 'no washing machine']","['private garden / terrace', 'maintenance staff', 'water storage', 'park', 'visitor parking', 'waste disposal', 'rain water harvesting']","['environment5 out of 5', 'lifestyle4 out of 5', 'connectivity3.5 out of 5', 'safety4.5 out of 5']"
101,4 Bedroom House for sale in Sector 66 Gurgaon,emaar mgf marbella,houses,8.8,41615.0,2115.0,Built Up area: 267 (223.25 sq.m.),4,4,3,"servant room,pooja room,store room","Sector 66 Gurgaon, Gurgaon, Haryana",3,South-East,1 to 5 Year Old,"['sector 55-56 rapid metro station', 'hub 66', 'nh 48', 'hasanpur', 'gurugram university', 'delhi public school', 'park hospital', 'indira gandhi international airport', 'sealdah', 'vatika business centre', 'the oberoi', 'de adventure park', 'dlf golf and country club', 'tau devilal sports complex']","Hi, we have a residential independent house/ villa available for sale in emaar mgf marbella, villa belleza, sector-66, gurgaon.
 Additional details :Piped gas facility is available.
The kitchen has been built with modular fittings.
 The house has muncipal supply supply.
There is also a separate washroom for domestic help.
You can easily park your car inside the compound
Having a provision to park 2 cars.
There is also a lift inside the house to make the living more convenient specially for old age people","['6 ac', '1 modular kitchen', 'no bed', 'no chimney', 'no curtains', 'no dining table', 'no exhaust fan', 'no fan', 'no geyser', 'no light', 'no microwave', 'no fridge', 'no sofa', 'no stove', 'no tv', 'no wardrobe', 'no washing machine', 'no water purifier']","['security / fire alarm', 'feng shui / vaastu compliant', 'private garden / terrace', 'water purifier', 'maintenance staff', 'water storage', 'separate entry for servant room', 'piped-gas', 'visitor parking', 'swimming pool', 'park', 'natural light', 'airy rooms', 'spacious interiors', 'fitness centre / gym', 'waste disposal', 'club house / community center']","['environment3 out of 5', 'lifestyle4 out of 5', 'connectivity4 out of 5', 'safety4 out of 5']"
106,3 Bedroom House for sale in Sector 4 Gurgaon,independent,houses,3.25,14444.0,2250.0,Plot area 250(209.03 sq.m.),3,3,2,not available,"Sector 4 Gurgaon, Gurgaon, Haryana",2,South-East,10+ Year Old,"['chintapurni mandir', 'state bank atm', 'prateek nursing home and polyclinic', 'kr dental hub', 'jain sant phool chand ji charitable hospital', 'sarvodya hospital', 'sneh hospital gurgaon', 'shree krishna hospital gurgaon', 'dr. ashok jain', 'gurgaon eye centre', 'dr. sindhu clinic', 'pearl dental clinic', 'dr. hitesh dawar', 'dr. mittal clinic', 'jiya clinic', 'aryan hospital', 'yashroop medical centre', 'taneja hospital', ""dr. anurag's child care clinic"", 'esic hospital gurugram', 'd.r. rajnis gupta clinic', 'geeta nursing home gurgaon', 'sparsh hospital gurgaon', 'bhardwaj hospital', 'ravi clinic and health care centre', 'bhatnagar maternity and nursing home', 'chiranjiv hospital', 'dr. agya ram sharma clinic', 'gh gurgaon', 'dr. madan clinic', 'bindal clinic', 'dr. sarvejeet singh', 'r k hospital gurgaon', 'dev man kathuria clinic', 'swastik maternity and medical centre', 'centre for sight gurgaon new railway road', 'm.s hospital', 'my care clinic', 'kidney clinic', 'indian bank', 'kotak bank', 'hdfc bank', 'state bank of india', 'pizza hut', 'st. michaels sr. sec. school', 'dronacharya government college', 'gurgaon railway station', 'gurgaon railway station', 'gurgaon railway station']","250 square yards east facing single story made 3 bhk house in a gated locality just close to park, well maintained house in best location of sector 4. All facilities are on walking distance such as park, market, school, bank, atm, hospital, chemist etc. 
Contact us and give us an opportunity to serve you and share our 20 years experience with you.
 
 
 
 Additional details :Piped gas facility is available.
The kitchen has been built with modular fittings.
 The house has muncipal supply supply.
There is also a separate washroom for domestic help.
You can easily park your car inside the compound
Having a provision to park 2 cars.","['30 light', 'no ac', 'no bed', 'no chimney', 'no curtains', 'no dining table', 'no exhaust fan', 'no fan', 'no geyser', 'no modular kitchen', 'no microwave', 'no fridge', 'no sofa', 'no stove', 'no tv', 'no wardrobe', 'no washing machine', 'no water purifier']","['feng shui / vaastu compliant', 'park', 'visitor parking', 'low density society']","['environment5 out of 5', 'lifestyle5 out of 5', 'connectivity5 out of 5', 'safety5 out of 5']"
